data_structure,null_model,bf
null_fe,A,11317283769489109e12
null_fe,B,0.24240160615927117
null_fe,C1,14039909716158711e13
null_fe,C2,0.08060795260288535
null_fe,A,2204440298366039e7
null_fe,B,0.13714819715413681
null_fe,C1,26457068927229173e7
null_fe,C2,0.08332141041131226
null_fe,A,18216287749772317e7
null_fe,B,0.15766735456891942
null_fe,C1,18382619447829129e8
null_fe,C2,0.09909516868078094
null_fe,A,6584804269314974e13
null_fe,B,0.24625542672618672
null_fe,C1,8441951441413103e14
null_fe,C2,0.07800097305715775
null_fe,A,3955224731734108e11
null_fe,B,0.22176851384255403
null_fe,C1,5355080457568823e12
null_fe,C2,0.07385929610345683
null_fe,A,1101082627004392200
null_fe,B,0.19483050883276304
null_fe,C1,13504312176042002e3
null_fe,C2,0.08153563192635777
null_fe,A,186692859948926e13
null_fe,B,0.32855179828435754
null_fe,C1,21644674373754013e12
null_fe,C2,0.08625348514150288
null_fe,A,12510501869607105e6
null_fe,B,0.2046850649758974
null_fe,C1,4295551238567216e7
null_fe,C2,0.2912432229252139
null_fe,A,5885268405253159e12
null_fe,B,0.1120713673827934
null_fe,C1,3314009614230992e13
null_fe,C2,0.17758754772408294
null_fe,A,5675304133165959e6
null_fe,B,0.14152561302040279
null_fe,C1,7029765051628821e7
null_fe,C2,0.08073248666896729
null_fe,A,6579264875494433e9
null_fe,B,0.16133016159301078
null_fe,C1,8499975290066588e10
null_fe,C2,0.07740334119774707
null_fe,A,8974979306885483e7
null_fe,B,0.10090786391994305
null_fe,C1,11128636795107611e8
null_fe,C2,0.08064760735862166
null_fe,A,941896486296653e6
null_fe,B,0.16261204974650656
null_fe,C1,19919818666604047e5
null_fe,C2,0.4728439058914528
null_fe,A,23331879670569203e10
null_fe,B,0.04053425777394172
null_fe,C1,2762827470738455e12
null_fe,C2,0.08444928218530058
null_fe,A,9435580342160876e8
null_fe,B,0.29797629887461785
null_fe,C1,5528318526350099e9
null_fe,C2,0.17067721943276712
null_fe,A,22909188056439087e10
null_fe,B,0.19954780912314046
null_fe,C1,4666138189229178e11
null_fe,C2,0.4909667722512001
null_fe,A,22161867249975055e8
null_fe,B,0.47411355750457695
null_fe,C1,26983989405295264e9
null_fe,C2,0.08212969148893184
null_fe,A,11637542687440587e5
null_fe,B,0.18468884330943217
null_fe,C1,14471719308651544e6
null_fe,C2,0.08041575737641196
null_fe,A,7589039461686077e8
null_fe,B,0.12376989168645396
null_fe,C1,5260903687825807e9
null_fe,C2,0.14425353346132874
null_fe,A,31045346509548e10
null_fe,B,0.27281044516426295
null_fe,C1,4035000971174544e9
null_fe,C2,0.0769401215299114
null_fe,A,35691412896780503e15
null_fe,B,0.43676699142353115
null_fe,C1,4376899393322631e17
null_fe,C2,0.08154496982779885
null_fe,A,1640961040896452e8
null_fe,B,0.12005232917777915
null_fe,C1,19360672067100024e8
null_fe,C2,0.08475744205620679
null_fe,A,462095817803319600
null_fe,B,0.14207653815534257
null_fe,C1,5764301292148591e3
null_fe,C2,0.08016510490746358
null_fe,A,54633661171723866e10
null_fe,B,0.30000823155883033
null_fe,C1,6815334104031399e12
null_fe,C2,0.08016285091497867
null_fe,A,3959658093543249e6
null_fe,B,0.18898216083876704
null_fe,C1,13389247485068456e6
null_fe,C2,0.29573417758981724
null_fe,A,4896799227748108e21
null_fe,B,0.4585008954353523
null_fe,C1,621341487277067e23
null_fe,C2,0.07881011212059208
null_fe,A,3439204263069691e11
null_fe,B,0.15186549884410636
null_fe,C1,3787548155386784e12
null_fe,C2,0.09080291845737548
null_fe,A,28457687031323175e5
null_fe,B,0.22707143820462855
null_fe,C1,32205517320099606e6
null_fe,C2,0.08836276948596819
null_none,A,21486000639289934e58
null_none,B,3039865.533776191
null_none,C1,15237707948247183e12
null_none,C2,1410054629755599e31
null_none,A,35974047827589425e58
null_none,B,841954.1716169292
