p.value,null_model,data_structure
0.6617139128454088,A,null_both
0.2128040316076225,B,null_both
0.9999999999999574,C1,null_both
0.20736043858248415,C2,null_both
0.22092477977648198,A,null_both
0.0740729713712785,B,null_both
0.696098911715848,C1,null_both
0.05505414487143328,C2,null_both
0.04031786271286042,A,null_both
0.026654037752473502,B,null_both
0.38536568224126827,C1,null_both
0.011499257908620544,C2,null_both
0.17736022137960866,A,null_both
0.037264557939048995,B,null_both
0.9296712658202901,C1,null_both
0.028803673696280153,C2,null_both
0.4807104688859371,A,null_both
0.22118603620035207,B,null_both
0.5458439650760838,C1,null_both
0.2617832287376068,C2,null_both
0.6098303839379638,A,null_both
0.1768949836289873,B,null_both
0.999999999999929,C1,null_both
0.1768949836290076,C2,null_both
0.8275200336501405,A,null_both
0.3458395943256245,B,null_both
0.9987865179832104,C1,null_both
0.345775680739682,C2,null_both
0.8668216597524079,A,null_both
0.4473731386404869,B,null_both
0.9523566336267657,C1,null_both
0.42756530199774667,C2,null_both
0.7636138046589954,A,null_both
0.4974673100691457,B,null_both
0.7219454965132875,C1,null_both
0.4776475765687247,C2,null_both
0.524414965126901,A,null_both
0.14063195444000745,B,null_both
0.4450511159635985,C1,null_both
0.4313014790084627,C2,null_both
0.9281580585975904,A,null_both
0.529111307412653,B,null_both
0.9830509918436139,C1,null_both
0.5153676117081718,C2,null_both
0.6344801593963781,A,null_both
0.2702728165418588,B,null_both
0.8095053325629197,C1,null_both
0.256345765489568,C2,null_both
0.7916821272605148,A,null_both
0.30792508466011154,B,null_both
1,C1,null_both
0.30792508466003876,C2,null_both
0.9400689047646987,A,null_both
0.8639177408546231,B,null_both
0.83182807585782,C1,null_both
0.8567583028153076,C2,null_both
0.9803214389610251,A,null_both
0.6693869919491071,B,null_both
0.9997720370430309,C1,null_both
0.6693907907523929,C2,null_both
0.994046917305964,A,null_both
0.7763335658511595,B,null_both
1,C1,null_both
0.776333565845563,C2,null_both
0.5057141861676491,A,null_both
0.7697455177124964,B,null_both
0.33152788455235416,C1,null_both
0.7209081855238673,C2,null_both
0.9964149018392741,A,null_both
0.9596610691495424,B,null_both
0.9730778942883188,C1,null_both
0.9584893686505676,C2,null_both
0.5082460976747435,A,null_both
0.7486193664880639,B,null_both
0.33381871903295873,C1,null_both
0.7204408966210613,C2,null_both
0.6764959941375772,A,null_both
0.39372490162496343,B,null_both
0.7080836609034012,C1,null_both
0.3609211068822727,C2,null_both
0.20915419747325695,A,null_both
0.8184324058690399,B,null_both
0.10788598011267755,C1,null_both
0.7745504408727704,C2,null_both
0.16270024265416635,A,null_both
0.030948979024693013,B,null_both
0.8722180339524628,C1,null_both
0.027582090175132298,C2,null_both
0.5721730136671693,A,null_both
0.16567907151269007,B,null_both
0.9909460326420869,C1,null_both
0.159081480278375,C2,null_both
0.6312003483009524,A,null_both
0.5414925651151364,B,null_both
0.528384532620477,C1,null_both
0.502336819792792,C2,null_both
0.8673186860495801,A,null_both
0.5525089346764108,B,null_both
0.8431047417844281,C1,null_both
0.5356674840020015,C2,null_both
0.9932821775484096,A,null_both
0.8619073192271265,B,null_both
0.9728368217507658,C1,null_both
0.8568750346557815,C2,null_both
0.7290463660662538,A,null_both
0.31082342910010863,B,null_both
0.8838674089949733,C1,null_both
0.3047095575951976,C2,null_both
0.5553309529771151,A,null_both
0.8179805754054351,B,null_both
0.3659822475989756,C1,null_both
0.7873024684491726,C2,null_both
0.9161288669088473,A,null_both
0.6683232636814749,B,null_both
0.8516141989585605,C1,null_both
0.661843171228985,C2,null_both
0.9963817793581774,A,null_both
0.8102529882425836,B,null_both
1,C1,null_both
0.810252988242859,C2,null_both
0.8603609684037979,A,null_both
0.6576024233062406,B,null_both
0.7598398599979579,C1,null_both
0.6507020329353471,C2,null_both
0.21831975763910905,A,null_both
0.05667359609488042,B,null_both
0.8361849307494126,C1,null_both
0.04351030588463586,C2,null_both
0.8832770572416695,A,null_both
0.4176344299141986,B,null_both
1,C1,null_both
0.4176344299141986,C2,null_both
0.9998705374263642,A,null_both
0.9372612359056828,B,null_both
1,C1,null_both
0.9372612359062572,C2,null_both
0.6879839113232769,A,null_both
0.6167809353208251,B,null_both
0.5659214279664664,C1,null_both
0.5617433448278508,C2,null_both
0.9998696299396418,A,null_both
1,B,null_both
1,C1,null_both
0.9371151061401787,C2,null_both
0.903634150524604,A,null_both
0.4738440991727438,B,null_both
0.9746225413292197,C1,null_both
0.47214242051236,C2,null_both
0.32447961756846383,A,null_both
0.06243532919754375,B,null_both
0.21820787945974998,C1,null_both
0.5135296142070749,C2,null_both
0.8005386710235625,A,null_both
0.3165982712428429,B,null_both
1,C1,null_both
0.31659827124292517,C2,null_both
0.8336624255100142,A,null_both
0.5694648110304316,B,null_both
0.7710676585941203,C1,null_both
0.5564533494625998,C2,null_both
0.9958979193412458,A,null_both
0.8289259929427147,B,null_both
0.9742543182175414,C1,null_both
0.9180865471331505,C2,null_both
0.8510403748440715,A,null_both
0.3730681785495504,B,null_both
1,C1,null_both
0.3730681785494476,C2,null_both
0.7648555660665958,A,null_both
0.32872159687754227,B,null_both
0.9154172916828873,C1,null_both
0.3237017626088577,C2,null_both
0.9999938607750121,A,null_both
0.977283146953371,B,null_both
0.9999999999999432,C1,null_both
0.9772831469549632,C2,null_both
0.9866657626706614,A,null_both
0.925814740679135,B,null_both
0.9365936770887126,C1,null_both
0.9252819172640836,C2,null_both
0.97338848117488,A,null_both
0.659792021307509,B,null_both
0.988868400913316,C1,null_both
0.6523013826284388,C2,null_both
0.9216213472938071,A,null_both
0.9800249232008459,B,null_both
0.7839530840741296,C1,null_both
0.9785575872428592,C2,null_both
0.06047579453792852,A,null_both
1,B,null_both
0.046597059233047106,C1,null_both
0.2622716258782525,C2,null_both
0.9259071192692466,A,null_both
0.6117036719405822,B,null_both
0.9167458340246477,C1,null_both
0.5877022479508579,C2,null_both
0.9986195099870423,A,null_both
0.9320323542171302,B,null_both
0.9886449832583943,C1,null_both
0.9318197634636395,C2,null_both
0.9886102347629974,A,null_both
0.7297890744833927,B,null_both
0.9973240471048541,C1,null_both
0.7288768118940487,C2,null_both
0.35488708141617586,A,null_both
0.1231889679249632,B,null_both
0.8436631839115973,C1,null_both
0.08811864520115768,C2,null_both
0.1806480581509224,A,null_both
0.028848201464869622,B,null_both
0.9998851657105208,C1,null_both
0.0271425120634501,C2,null_both
0.6033580127444076,A,null_both
0.23427850197834696,B,null_both
0.8365800248868308,C1,null_both
0.221186808734044,C2,null_both
0.2559000397480733,A,null_both
0.044118181929715033,B,null_both
1,C1,null_both
0.04411818192967869,C2,null_both
0.7529766419494209,A,null_both
0.8627696693532761,B,null_both
0.5580078570704603,C1,null_both
0.8550944051363872,C2,null_both
0.7632378891705721,A,null_both
0.35181142018784306,B,null_both
0.894943262653584,C1,null_both
0.3334602740523831,C2,null_both
0.5887790065007297,A,null_both
0.1700042463547713,B,null_both
0.998517156030575,C1,null_both
0.1659771441476056,C2,null_both
0.048954484801664526,A,null_both
0.11034470986933012,B,null_both
0.14449840102698727,C1,null_both
0.045692581862473665,C2,null_both
0.6728101009488505,A,null_both
0.2144493656406131,B,null_both
0.9999999999999716,C1,null_both
0.21444936564062153,C2,null_both
0.22260057160197042,A,null_both
0.09411313663651416,B,null_both
0.28934592095538625,C1,null_both
0.16733442516836966,C2,null_both
0.5591964505873919,A,null_both
0.38429424943830953,B,null_both
0.5675473001019714,C1,null_both
0.33452476045580737,C2,null_both
0.957900060012128,A,null_both
0.640041437138256,B,null_both
0.961434159267262,C1,null_both
0.6296130675999878,C2,null_both
0.9995114587121355,A,null_both
0.9269591068815671,B,null_both
0.9966871950511166,C1,null_both
0.9269432229539789,C2,null_both
0.9710937044849767,A,null_both
0.8650920564119539,B,null_both
0.9022506710900783,C1,null_both
0.8556718468603169,C2,null_both
0.35839546209586765,A,null_both
1,B,null_both
0.2027140882596751,C1,null_both
0.8583720856220771,C2,null_both
0.268728310264814,A,null_both
0.08140575431701916,B,null_both
1,C1,null_both
0.045413228454002946,C2,null_both
0.9087390476885087,A,null_both
0.8681642522893591,B,null_both
0.7725065961943004,C1,null_both
0.8636615307509365,C2,null_both
0.4215741131599183,A,null_both
0.280935703031702,B,null_both
0.48082992678834147,C1,null_both
0.24576166013306522,C2,null_both
0.6175516481312082,A,null_both
0.18117109708509233,B,null_both
0.9999999999999005,C1,null_both
0.1811710970850784,C2,null_both
0.9124779155822453,A,null_both
0.8075473259731384,B,null_both
0.7938057615028807,C1,null_both
0.7955227554092336,C2,null_both
0.6552065927597227,A,null_both
0.20330366985170037,B,null_both
1,C1,null_both
0.20330366985201778,C2,null_both
0.9483692487721656,A,null_both
1,B,null_both
0.9432580655633611,C1,null_both
